year,freq_desc,reference_period_desc,state_name,state_alpha,state_fips,short_desc,unit_desc,value
2015,MONTHLY,MAR,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,865"
2015,MONTHLY,MAY,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,930"
2015,MONTHLY,NOV,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,770"
2015,MONTHLY,OCT,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,800"
2015,MONTHLY,SEP,INDIANA,IN,18,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,745"
2015,MONTHLY,APR,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,945"
2015,MONTHLY,AUG,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,840"
2015,MONTHLY,DEC,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,830"
2015,MONTHLY,FEB,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,740"
2015,MONTHLY,JAN,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,890"
2015,MONTHLY,JUL,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,845"
2015,MONTHLY,JUN,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,810"
2015,MONTHLY,MAR,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,970"
2015,MONTHLY,MAY,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,965"
2015,MONTHLY,NOV,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,770"
2015,MONTHLY,OCT,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,840"
2015,MONTHLY,SEP,KANSAS,KS,20,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,760"
2015,MONTHLY,APR,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,100"
2015,MONTHLY,AUG,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,140"
2015,MONTHLY,DEC,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,145"
2015,MONTHLY,FEB,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,900"
2015,MONTHLY,JAN,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,100"
2015,MONTHLY,JUL,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,170"
2015,MONTHLY,JUN,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,135"
2015,MONTHLY,MAR,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,130"
2015,MONTHLY,MAY,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,195"
2015,MONTHLY,NOV,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,050"
2015,MONTHLY,OCT,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,100"
2015,MONTHLY,SEP,MICHIGAN,MI,26,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,015"
2015,MONTHLY,APR,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,720"
2015,MONTHLY,AUG,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,730"
2015,MONTHLY,DEC,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,745"
2015,MONTHLY,FEB,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,590"
2015,MONTHLY,JAN,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,745"
2015,MONTHLY,JUL,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,760"
2015,MONTHLY,JUN,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,730"
2015,MONTHLY,MAR,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,760"
2015,MONTHLY,MAY,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,795"
2015,MONTHLY,NOV,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,660"
2015,MONTHLY,OCT,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,695"
2015,MONTHLY,SEP,MINNESOTA,MN,27,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"1,635"
2015,MONTHLY,APR,NEW MEXICO,NM,35,"MILK - PRODUCTION, MEASURED IN LB / HEAD",LB / HEAD,"2,105"
